call_id,caller_age_days,calls_per_day,call_duration_sec,avg_call_duration_sec,unique_receivers_24h,receiver_block_rate,spam_reports_count,country_code_risk_score,night_call_ratio,sequential_dialing_score,graph_degree,previous_fraud_associations,reputation_score,fraud_label
CALL0009970,314.0,10.0,600.0,578.1,18.0,10.55,0.0,25.42,31.01,8.99,42.0,1.0,82.32,
CALL0001273,713.0,2.0,510.0,410.5,,6.24,1.0,11.12,11.83,8.82,27.0,0.0,75.79,0.0
CALL0008443,851.0,,443.0,,4.0,8.24,3.0,36.8,16.9,17.92,23.0,0.0,94.55,0.0
CALL0009418,436.0,,81.0,47.5,5.0,3.56,0.0,40.3,23.1,31.53,39.0,0.0,80.27,0.0
CALL0006724,1011.0,1065.0,11.0,26.5,214.0,68.46,73.0,,53.26,56.07,528.0,18.0,,1.0
CALL0005655,815.0,12.0,194.0,167.8,6.0,22.63,1.0,,12.35,5.69,120.0,0.0,81.22,0.0
CALL0004637,12.0,907.0,375.0,241.8,118.0,45.77,93.0,33.35,46.09,50.58,126.0,15.0,20.61,1.0
CALL0005664,1068.0,,32.0,37.7,69.0,52.54,3.0,61.32,42.97,61.2,219.0,23.0,37.6,1.0
CALL0001449,,4.0,60.0,,13.0,12.23,3.0,,17.17,11.67,79.0,0.0,68.48,1.0
CALL0003007,516.0,7.0,203.0,213.2,10.0,7.06,1.0,68.89,9.01,13.59,38.0,0.0,96.13,0.0
CALL0002155,1615.0,6.0,353.0,381.3,5.0,14.63,1.0,44.32,17.11,,161.0,1.0,89.69,0.0
CALL0006933,536.0,3.0,,343.9,2.0,8.2,1.0,39.95,13.28,2.05,114.0,1.0,78.21,0.0
CALL0002612,632.0,7.0,318.0,291.1,4.0,17.75,1.0,11.72,24.41,23.15,235.0,1.0,84.97,0.0
CALL0007029,94.0,269.0,186.0,94.8,104.0,79.18,86.0,42.75,38.89,95.23,473.0,28.0,15.93,1.0
CALL0006230,622.0,19.0,343.0,254.7,12.0,31.62,3.0,13.64,36.71,24.9,49.0,0.0,52.43,
CALL0004850,1504.0,484.0,191.0,157.7,68.0,10.26,2.0,36.92,42.78,12.15,316.0,0.0,77.88,0.0
CALL0005374,762.0,7.0,244.0,192.1,12.0,11.03,3.0,,4.67,7.24,83.0,0.0,70.98,
CALL0004214,903.0,247.0,664.0,785.1,68.0,20.88,0.0,12.74,,21.02,104.0,0.0,94.19,0.0
CALL0002321,773.0,14.0,289.0,198.8,11.0,1.81,1.0,18.03,9.11,17.85,52.0,0.0,67.62,0.0
CALL0007898,393.0,79.0,164.0,168.4,,6.3,4.0,44.81,23.26,15.5,54.0,0.0,,0.0
CALL0004564,6.0,152.0,267.0,118.6,219.0,69.14,2.0,72.73,66.32,58.29,366.0,18.0,23.38,1.0
CALL0000698,1157.0,9.0,75.0,72.4,,9.62,0.0,16.74,17.46,13.09,51.0,0.0,,0.0
CALL0009486,1151.0,9.0,223.0,266.0,11.0,,3.0,47.99,8.76,11.03,66.0,0.0,93.55,0.0
CALL0006081,,610.0,35.0,32.4,146.0,27.84,68.0,69.18,,77.09,233.0,0.0,44.28,1.0
CALL0000686,2353.0,4.0,351.0,258.0,9.0,15.53,0.0,15.76,42.42,23.93,92.0,0.0,79.2,0.0
CALL0000811,1088.0,19.0,164.0,205.5,,3.04,2.0,16.64,27.31,24.33,33.0,6.0,66.83,0.0
CALL0002219,2156.0,4.0,218.0,264.3,3.0,5.74,3.0,11.12,24.65,23.58,192.0,0.0,92.19,0.0
CALL0002679,347.0,3.0,304.0,311.8,10.0,3.3,1.0,21.64,25.24,11.55,139.0,1.0,72.55,0.0
CALL0001778,1648.0,,143.0,89.9,4.0,12.22,1.0,41.61,13.45,20.84,70.0,1.0,80.94,0.0
CALL0000739,900.0,134.0,26.0,18.5,193.0,50.67,90.0,61.78,75.18,,321.0,16.0,39.34,1.0
CALL0007093,288.0,,25.0,18.2,285.0,68.36,90.0,61.22,,87.57,443.0,18.0,17.88,1.0
CALL0006767,281.0,152.0,287.0,,34.0,37.45,86.0,46.84,41.65,72.92,436.0,22.0,11.84,1.0
CALL0008233,335.0,9.0,117.0,94.9,8.0,7.91,4.0,45.79,3.37,12.96,206.0,0.0,70.42,0.0
CALL0006090,427.0,4.0,609.0,622.3,10.0,11.75,2.0,53.06,3.09,28.9,27.0,0.0,83.84,0.0
CALL0007370,2689.0,5.0,343.0,412.9,6.0,10.3,1.0,54.18,3.85,30.56,113.0,0.0,78.41,1.0
CALL0003585,738.0,5.0,260.0,197.2,8.0,9.42,1.0,53.39,5.91,20.37,55.0,0.0,84.52,0.0
CALL0008084,1495.0,221.0,4.0,5.7,125.0,74.6,84.0,90.79,42.58,84.15,473.0,23.0,32.77,1.0
CALL0002534,663.0,5.0,475.0,578.8,8.0,4.02,2.0,9.78,11.55,27.63,34.0,0.0,97.75,0.0
CALL0009798,206.0,3.0,68.0,53.4,10.0,3.17,2.0,15.97,28.69,14.77,109.0,0.0,90.03,0.0
CALL0009784,930.0,10.0,312.0,267.5,8.0,5.76,2.0,64.84,37.58,15.06,44.0,0.0,82.52,0.0
CALL0007837,1258.0,12.0,349.0,309.3,5.0,6.53,2.0,43.21,9.4,,34.0,0.0,79.04,0.0
CALL0005288,72.0,275.0,1.0,8.4,144.0,63.72,71.0,32.53,24.26,63.46,146.0,2.0,3.65,
CALL0003381,1124.0,5.0,146.0,109.9,4.0,11.92,5.0,40.67,17.06,6.17,94.0,1.0,78.96,0.0
CALL0001042,3650.0,9.0,380.0,517.3,12.0,0.5,1.0,25.69,2.04,21.41,68.0,0.0,89.46,
CALL0007443,564.0,175.0,279.0,173.6,7.0,9.29,1.0,30.17,29.63,8.71,131.0,0.0,70.28,0.0
CALL0006209,556.0,745.0,,28.2,102.0,45.27,74.0,75.4,51.06,71.73,370.0,31.0,6.4,1.0
call0000235,22.0,1392.0,35.0,17.6,178.0,61.09,1.0,39.71,,72.81,,20.0,25.94,1.0
CALL0004460,1106.0,6.0,333.0,244.3,2.0,12.46,1.0,22.29,33.2,28.53,378.0,0.0,88.71,0.0
call0000248,1053.0,9.0,481.0,540.2,12.0,21.01,1.0,,3.19,19.52,95.0,0.0,92.27,0.0
CALL0001144,455.0,5.0,108.0,165.8,7.0,5.12,0.0,14.77,35.06,9.71,100.0,0.0,74.79,0.0
CALL0002182,788.0,21.0,149.0,,6.0,14.97,,4.3,27.91,10.33,254.0,0.0,73.32,
CALL0002806,549.0,109.0,453.0,500.3,,5.7,2.0,5.64,13.45,3.03,350.0,0.0,87.76,0.0
CALL0005818,1354.0,390.0,196.0,129.3,143.0,64.63,2.0,71.91,82.9,82.84,243.0,,18.01,1.0
CALL0005529,1464.0,29.0,211.0,177.7,,5.96,3.0,16.97,21.48,,,0.0,88.06,0.0
CALL0009805,545.0,8.0,152.0,,9.0,8.42,1.0,31.06,48.59,,149.0,0.0,83.83,0.0
CALL0000641,991.0,485.0,419.0,467.3,81.0,3.55,2.0,17.83,25.63,2.2,231.0,0.0,92.63,0.0
CALL0002575,30.0,1008.0,7.0,6.3,234.0,57.97,91.0,49.97,66.54,62.4,372.0,14.0,28.09,1.0
CALL0006818,109.0,1266.0,154.0,188.1,68.0,87.93,64.0,91.14,53.2,30.04,450.0,22.0,60.98,1.0
CALL0002805,1329.0,10.0,381.0,374.9,10.0,18.96,1.0,55.99,17.56,14.07,148.0,1.0,83.12,
CALL0005004,1600.0,4.0,144.0,124.9,150.0,3.41,1.0,14.17,6.78,7.63,129.0,0.0,60.97,0.0
CALL0000369,449.0,366.0,28.0,18.8,115.0,79.36,88.0,22.59,81.61,63.21,547.0,22.0,46.11,1.0
CALL0001341,,103.0,52.0,50.0,233.0,87.39,0.0,67.38,64.78,91.42,491.0,1.0,38.26,1.0
CALL0004945,872.0,,273.0,266.6,6.0,16.53,2.0,40.18,,13.66,29.0,0.0,75.97,0.0
CALL0002458,423.0,200.0,372.0,415.9,82.0,7.96,2.0,30.82,11.78,18.65,299.0,0.0,76.06,0.0
CALL0002895,122.0,9.0,333.0,414.8,,42.0,2.0,55.59,,53.5,105.0,19.0,27.83,1.0
CALL0004419,533.0,11.0,268.0,208.2,5.0,16.55,3.0,28.68,3.41,24.47,180.0,0.0,77.24,0.0
CALL0009876,542.0,12.0,313.0,375.8,6.0,18.27,2.0,32.69,30.74,17.75,141.0,0.0,73.75,0.0
CALL0002255,923.0,5.0,409.0,325.1,7.0,15.77,2.0,63.45,15.95,13.61,99.0,0.0,95.99,0.0
CALL0009154,13.0,544.0,92.0,,128.0,66.46,82.0,50.06,75.5,27.37,186.0,19.0,56.56,1.0
CALL0002246,156.0,213.0,1.0,1.0,317.0,68.69,1.0,72.08,69.22,71.55,427.0,1.0,31.63,1.0
CALL0007926,642.0,29.0,419.0,335.6,8.0,7.6,2.0,11.88,26.36,,81.0,0.0,60.85,
CALL0009632,,12.0,166.0,86.8,11.0,3.27,1.0,17.67,8.57,15.7,26.0,0.0,88.52,0.0
CALL0003171,725.0,15.0,338.0,389.1,7.0,17.68,1.0,36.7,12.77,,85.0,0.0,88.45,0.0
CALL0008372,418.0,5.0,269.0,,7.0,2.47,2.0,17.18,32.97,13.55,14.0,0.0,85.07,0.0
CALL0003537,1394.0,4.0,340.0,126.2,5.0,4.52,1.0,17.37,12.77,66.05000000000001,84.0,0.0,88.14,0.0
CALL0002737,6.0,568.0,10.0,23.2,85.0,57.26,4.0,26.08,48.82,90.23,153.0,0.0,18.45,1.0
CALL0009695,313.0,195.0,174.0,122.1,,8.94,1.0,22.75,9.88,16.22,148.0,0.0,87.36,1.0
CALL0008335,459.0,24.0,263.0,281.4,14.0,7.65,0.0,5.13,52.7,0.78,24.0,0.0,78.53,
CALL0001520,2158.0,11.0,335.0,498.4,6.0,9.76,2.0,,,2.98,56.0,0.0,90.72,0.0
CALL0005076,756.0,4.0,184.0,156.6,5.0,3.52,0.0,27.87,11.89,12.07,117.0,0.0,,0.0
CALL0001080,833.0,23.0,822.0,971.8,,10.8,1.0,9.19,,18.59,64.0,0.0,88.87,0.0
CALL0009545,442.0,3.0,352.0,359.2,16.0,9.92,0.0,39.58,15.47,10.62,139.0,0.0,66.21,0.0
CALL0006928,32.0,15.0,8.0,13.8,2.0,40.85,5.0,71.95,58.66,58.72,13.0,21.0,24.91,1.0
CALL0007903,188.0,8.0,257.0,254.0,9.0,7.37,0.0,43.17,39.62,12.82,172.0,0.0,95.67,
CALL0006086,277.0,4.0,633.0,764.9,9.0,1.28,3.0,47.5,25.4,29.48,17.0,0.0,86.05,0.0
CALL0004498,522.0,3.0,406.0,497.3,5.0,2.55,2.0,21.85,10.42,,22.0,0.0,57.61,0.0
CALL0003033,821.0,14.0,140.0,197.1,6.0,15.92,2.0,28.39,25.54,18.02,103.0,0.0,46.68,0.0
CALL0000799,25.0,1245.0,10.0,17.2,171.0,53.12,73.0,69.96,60.37,71.81,243.0,26.0,78.62,1.0
CALL0003968,822.0,13.0,257.0,170.4,11.0,13.11,3.0,45.85,41.42,29.23,70.0,1.0,74.68,0.0
CALL0000642,758.0,200.0,98.0,110.6,70.0,7.77,1.0,42.71,18.44,7.76,267.0,0.0,83.41,0.0
CALL0006902,,7.0,176.0,143.3,6.0,2.65,1.0,16.15,34.25,24.36,,0.0,74.9,0.0
CALL0009280,1518.0,4.0,298.0,302.4,8.0,,2.0,9.64,18.57,3.6,78.0,0.0,79.52,0.0
CALL0006722,121.0,3.0,412.0,465.0,11.0,3.45,1.0,31.46,3.48,9.66,124.0,0.0,81.72,
CALL0001447,1538.0,1.0,325.0,349.9,8.0,10.12,,28.32,,11.48,82.0,0.0,83.62,0.0
CALL0002220,1206.0,1387.0,263.0,323.0,,61.77,72.0,27.29,82.18,64.37,213.0,0.0,47.03,1.0
CALL0001441,810.0,12.0,422.0,399.1,7.0,16.77,0.0,21.26,10.19,24.54,1620.0,0.0,69.74,0.0
CALL0008164,817.0,1.0,474.0,698.0,14.0,7.58,1.0,44.31,13.09,32.58,32.0,0.0,65.46,0.0
CALL0003005,7.0,2.0,25.0,1.0,,51.62,90.0,75.81,,56.92,71.0,13.0,55.19,1.0
CALL0007453,723.0,9.0,268.0,208.4,9.0,9.54,0.0,39.07,5.21,12.95,69.0,2.0,62.64,0.0
CALL0000388,1060.0,17.0,53.0,81.0,40.0,6.09,5.0,7.96,12.31,13.4,73.0,1.0,81.14,0.0
CALL0007792,,7.0,3480.0,209.8,,6.62,4.0,65.82,12.4,29.91,39.0,0.0,76.62,0.0
CALL0007047,976.0,35.0,182.0,177.0,9.0,8.66,0.0,38.87,30.24,20.56,131.0,0.0,93.02,0.0
CALL0001143,350.0,13.0,327.0,231.2,11.0,19.32,2.0,33.38,17.62,24.95,33.0,0.0,95.31,
call0005417,1514.0,,436.0,482.2,9.0,5.52,3.0,33.89,31.62,20.81,90.0,0.0,87.79,0.0
CALL0009489,806.0,9.0,605.0,550.6,6.0,4.86,1.0,42.78,46.4,37.26,101.0,0.0,74.99,
CALL0008436,2150.0,2.0,287.0,266.9,6.0,5.3,0.0,,20.06,6.96,48.0,0.0,,0.0
CALL0007844,664.0,396.0,248.0,249.2,64.0,4.82,,7.0,12.11,8.64,157.0,1.0,68.43,0.0
CALL0006472,705.0,15.0,197.0,262.7,7.0,14.52,1.0,6.3,5.73,13.25,123.0,0.0,89.21,0.0
CALL0006542,3213.0,,130.0,81.0,9.0,16.32,3.0,,36.66,25.77,138.0,0.0,64.59,0.0
CALL0003311,198.0,3.0,84.0,117.1,7.0,15.87,2.0,38.04,7.69,18.38,92.0,0.0,90.95,0.0
CALL0003459,1333.0,,221.0,205.4,,11.78,0.0,42.89,9.09,4.88,39.0,0.0,79.14,0.0
 CALL0006572 ,1642.0,7.0,431.0,329.8,5.0,3.9,2.0,61.52,29.39,9.92,143.0,0.0,83.04,0.0
CALL0007433,690.0,11.0,91.0,111.6,5.0,3.34,2.0,,16.14,32.36,68.0,0.0,84.62,0.0
CALL0004848,834.0,5.0,290.0,377.9,8.0,14.19,2.0,31.06,35.41,18.37,,0.0,93.47,0.0
CALL0005344,112.0,457.0,15.0,5.1,184.0,62.86,85.0,62.57,66.1,44.17,234.0,34.0,31.87,
CALL0007383,162.0,,26.0,,18.0,90.02,2.0,59.4,,56.03,291.0,14.0,15.37,1.0
CALL0001929,310.0,90.0,380.0,372.7,10.0,,1.0,27.4,31.95,18.64,133.0,,88.3,0.0
CALL0003847,635.0,8.0,192.0,237.4,5.0,7.96,1.0,,24.59,3.18,61.0,0.0,82.14,0.0
CALL0008559,1261.0,10.0,568.0,309.1,11.0,5.48,0.0,31.44,12.27,,91.0,0.0,67.62,0.0
CALL0006217,877.0,2.0,465.0,487.7,8.0,12.52,2.0,25.21,18.45,8.61,39.0,1.0,85.22,0.0
CALL0000176,688.0,5.0,1730.0,483.9,9.0,6.85,0.0,,44.58,26.72,52.0,0.0,84.89,0.0
CALL0005729,58.0,450.0,242.0,136.2,114.0,71.12,1.0,75.77,69.42,88.26,418.0,1.0,26.55,1.0
CALL0006378,460.0,11.0,465.0,470.1,7.0,1.73,,,24.37,18.11,25.0,1.0,67.75,0.0
CALL0001462,6.0,103.0,22.0,7.8,299.0,52.15,66.0,55.05,70.42,82.0,,1.0,24.99,1.0
CALL0000761,14.0,370.0,12.0,11.2,189.0,77.85,,53.43,81.9,94.01,439.0,16.0,12.41,
CALL0008321,52.0,1284.0,14.0,,215.0,90.1,84.0,82.74,80.9,89.02,313.0,17.0,,1.0
CALL0007431,,,293.0,183.9,196.0,69.09,77.0,55.31,,62.89,302.0,16.0,35.76,1.0
CALL0004888,611.0,13.0,142.0,149.0,8.0,6.66,2.0,10.42,9.11,12.38,196.0,0.0,74.66,0.0
CALL0002964,1272.0,6.0,14.0,22.8,10.0,15.3,3.0,7.34,8.4,16.81,79.0,0.0,84.43,0.0
CALL0006984,1463.0,5.0,589.0,805.7,6.0,3.71,2.0,27.76,25.07,,148.0,0.0,82.22,0.0
CALL0004812,1438.0,21.0,203.0,255.0,10.0,2.85,0.0,40.76,29.5,13.81,86.0,0.0,87.52,0.0
CALL0005940,537.0,1308.0,29.0,25.4,2835.0,43.76,76.0,61.59,52.23,66.98,666.0,20.0,25.54,1.0
CALL0005284,831.0,28.0,641.0,682.2,7.0,7.68,1.0,11.58,16.03,18.14,47.0,0.0,89.32,0.0
CALL0003868,908.0,18.0,229.0,262.3,8.0,7.96,3.0,6.91,49.95,2.57,55.0,0.0,78.91,0.0
CALL0008230,1228.0,6.0,347.0,377.4,,11.34,3.0,41.34,33.97,6.34,264.0,0.0,80.84,0.0
CALL0005719,629.0,7.0,267.0,279.2,8.0,9.9,2.0,14.45,45.91,8.99,109.0,1.0,67.06,0.0
CALL0006366,833.0,7.0,175.0,131.5,7.0,10.12,4.0,45.33,9.64,10.8,59.0,0.0,89.35,0.0
CALL0005517,404.0,4.0,294.0,,4.0,14.73,1.0,7.16,28.97,5.12,103.0,0.0,81.02,0.0
CALL0002662,241.0,16.0,292.0,380.5,5.0,9.37,1.0,37.36,23.73,12.4,69.0,0.0,84.11,0.0
CALL0006749,617.0,43.0,91.0,114.6,,9.67,0.0,27.2,3.62,18.51,39.0,0.0,51.49,0.0
CALL0004094,13.0,1143.0,44.0,78.8,186.0,73.46,2.0,49.7,40.74,81.92,187.0,0.0,23.51,1.0
CALL0006497,1223.0,47.0,375.0,511.5,6.0,10.02,1.0,19.54,16.47,7.49,144.0,0.0,95.07,0.0
CALL0007948,114.0,1178.0,151.0,203.7,84.0,56.38,72.0,58.51,65.03,61.11,,0.0,-42.23897311805268,1.0
CALL0000001,735.0,7.0,449.0,372.5,9.0,12.6,4.0,26.08,,5.19,59.0,0.0,88.06,0.0
CALL0007050,622.0,18.0,216.0,273.5,11.0,21.84,1.0,8.19,39.16,,44.0,0.0,59.23,0.0
CALL0007088,1683.0,4.0,307.0,243.2,9.0,10.22,3.0,51.99,19.41,31.45,115.0,2.0,84.77,0.0
CALL0001242,419.0,18.0,289.0,255.2,12.0,,2.0,9.74,40.29,4.67,81.0,0.0,67.83,0.0
CALL0008657,3360.0,3.0,166.0,120.5,7.0,,0.0,15.24,29.69,21.09,77.0,1.0,87.04,0.0
CALL0005216,1586.0,36.0,293.0,307.5,5.0,3.51,2.0,19.66,9.86,5.06,87.0,0.0,60.99,0.0
CALL0009519,,8.0,143.0,80.5,8.0,15.14,0.0,38.36,30.61,10.27,49.0,0.0,60.03,0.0
CALL0008960,697.0,17.0,578.0,555.7,7.0,4.71,3.0,7.92,3.42,10.25,90.0,0.0,70.22,
CALL0000717,1037.0,11.0,191.0,107.3,11.0,2.96,2.0,27.55,4.55,6.46,103.0,0.0,90.84,0.0
CALL0008587,,8.0,177.0,222.8,9.0,4.46,1.0,67.5,22.77,15.28,27.0,1.0,90.07,0.0
CALL0005411,343.0,,,178.8,4.0,4.82,1.0,22.11,3.14,17.95,147.0,0.0,77.09,0.0
CALL0002604,,3.0,156.0,163.5,15.0,1.64,2.0,8.87,14.07,6.28,238.0,1.0,64.64,0.0
CALL0005977,1347.0,40.0,421.0,263.2,7.0,3.32,0.0,36.32,6.04,7.44,98.0,0.0,79.85,
CALL0007028,1297.0,4.0,345.0,295.5,3.0,10.32,0.0,44.66,25.01,16.97,58.0,0.0,89.27,0.0
CALL0005306,376.0,4.0,306.0,253.3,8.0,2.66,0.0,3.52,33.0,16.19,195.0,0.0,95.93,0.0
CALL0008602,17.0,299.0,11.0,15.0,269.0,42.41,80.0,42.49,60.95,67.21,74.0,13.0,26.05,1.0
CALL0006167,691.0,24.0,140.0,162.2,3.0,3.45,2.0,44.84,11.11,3.56,56.0,0.0,68.27,0.0
CALL0004357,1055.0,6.0,358.0,356.2,6.0,2.12,2.0,20.27,32.08,23.23,168.0,0.0,85.99,0.0
CALL0005122,2103.0,18.0,217.0,186.0,7.0,6.66,1.0,16.45,21.01,4.77,36.0,0.0,80.52,0.0
CALL0000521,408.0,685.0,257.0,253.1,71.0,1.81,2.0,8.53,4.94,7.01,225.0,1.0,51.07,0.0
CALL0005955,,,212.0,,20.0,0.92,1.0,33.32,8.81,11.75,46.0,1.0,82.72,1.0
CALL0005173,515.0,9.0,291.0,,225.0,11.86,1.0,33.71,7.85,11.1,34.0,10.0,61.55,0.0
CALL0005794,294.0,,588.0,644.8,3.0,9.93,1.0,23.84,12.38,12.9,67.0,0.0,90.91,0.0
CALL0001984,462.0,208.0,437.0,288.4,71.0,10.46,3.0,21.67,10.9,23.99,251.0,1.0,77.0,0.0
CALL0004154,14.0,1435.0,46.0,53.8,159.0,55.93,2.0,60.45,65.22,,533.0,1.0,20.2,1.0
CALL0001065,1282.0,3.0,91.0,85.3,7.0,5.41,1.0,36.85,38.41,27.44,96.0,0.0,78.04,0.0
CALL0009170,251.0,7.0,7095.0,379.1,8.0,7.16,3.0,5.27,18.54,4.03,155.0,1.0,69.71,
CALL0005457,12.0,,192.0,162.3,91.0,,84.0,66.28,18.82,30.66,182.0,15.0,25.85,1.0
CALL0003933,94.0,1398.0,41.0,11.7,117.0,67.5,1.0,39.62,34.78,,489.0,23.0,63.24,1.0
CALL0002580,1527.0,10.0,256.0,247.7,,3.68,1.0,49.12,36.68,13.52,68.0,1.0,63.3,0.0
CALL0006617,456.0,14.0,389.0,,8.0,7.15,3.0,59.1,24.54,8.51,41.0,0.0,90.11,0.0
CALL0004484,549.0,2.0,148.0,81.0,6.0,12.92,1.0,14.95,21.54,15.11,122.0,0.0,62.06,0.0
CALL0001686,2491.0,4.0,319.0,321.3,,12.87,2.0,20.07,1.51,43.27,163.0,0.0,88.34,0.0
CALL0004078,11.0,241.0,28.0,23.1,197.0,94.93,69.0,37.68,42.11,93.67,160.0,0.0,39.43,1.0
